Linux 3.10.0-514.26.2.el7.x86_64 (ip-10-0-1-10) 	01/08/17 	_x86_64_	(2 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
00:10:01        all      7.96      0.00      7.61      0.00      0.33      0.00      0.03      0.00      0.00     84.07
00:10:01          0      7.91      0.00      7.58      0.00      0.33      0.00      0.00      0.00      0.00     84.18
00:10:01          1      8.01      0.00      7.65      0.00      0.34      0.00      0.05      0.00      0.00     83.95
00:20:01        all      8.01      0.00      7.55      0.00      0.34      0.00      0.03      0.00      0.00     84.07
00:20:01          0      8.05      0.00      7.58      0.00      0.34      0.00      0.00      0.00      0.00     84.02
00:20:01          1      7.97      0.00      7.52      0.00      0.35      0.00      0.05      0.00      0.00     84.12
00:30:01        all      8.11      0.00      7.67      0.00      0.35      0.00      0.03      0.00      0.00     83.84
00:30:01          0      8.01      0.00      7.59      0.00      0.35      0.00      0.00      0.00      0.00     84.06
00:30:01          1      8.22      0.00      7.76      0.00      0.35      0.00      0.06      0.00      0.00     83.61
00:40:01        all      7.98      0.00      7.60      0.00      0.34      0.00      0.03      0.00      0.00     84.06
00:40:01          0      7.85      0.00      7.51      0.00      0.34      0.00      0.00      0.00      0.00     84.31
00:40:01          1      8.11      0.00      7.69      0.00      0.34      0.00      0.05      0.00      0.00     83.81
00:50:01        all      7.87      0.00      7.39      0.00      0.35      0.00      0.02      0.00      0.00     84.37
00:50:01          0      7.70      0.00      7.24      0.00      0.34      0.00      0.00      0.00      0.00     84.72
00:50:01          1      8.04      0.00      7.55      0.00      0.35      0.00      0.04      0.00      0.00     84.03
01:00:01        all      7.86      0.00      7.44      0.00      0.35      0.00      0.02      0.00      0.00     84.33
01:00:01          0      7.71      0.00      7.22      0.00      0.34      0.00      0.00      0.00      0.00     84.72
01:00:01          1      8.02      0.00      7.65      0.00      0.35      0.00      0.04      0.00      0.00     83.94
01:10:01        all      7.97      0.00      7.58      0.00      0.34      0.00      0.02      0.00      0.00     84.09
01:10:01          0      8.01      0.00      7.55      0.00      0.34      0.00      0.00      0.00      0.00     84.10
01:10:01          1      7.93      0.00      7.61      0.00      0.34      0.00      0.05      0.00      0.00     84.07
01:20:01        all      8.09      0.00      7.67      0.00      0.34      0.00      0.03      0.00      0.00     83.87
01:20:01          0      7.98      0.00      7.57      0.00      0.34      0.00      0.00      0.00      0.00     84.10
01:20:01          1      8.20      0.00      7.77      0.00      0.35      0.00      0.05      0.00      0.00     83.64
01:30:01        all      8.03      0.00      7.68      0.00      0.34      0.00      0.03      0.00      0.00     83.93
01:30:01          0      7.90      0.00      7.47      0.00      0.34      0.00      0.00      0.00      0.00     84.29
01:30:01          1      8.16      0.00      7.89      0.00      0.35      0.00      0.05      0.00      0.00     83.56
01:40:01        all      8.02      0.00      7.53      0.00      0.34      0.00      0.02      0.00      0.00     84.09
01:40:01          0      7.94      0.00      7.45      0.00      0.34      0.00      0.00      0.00      0.00     84.27
01:40:01          1      8.09      0.00      7.62      0.00      0.34      0.00      0.04      0.00      0.00     83.90
01:50:01        all      7.91      0.00      7.49      0.00      0.34      0.00      0.02      0.00      0.00     84.23
01:50:01          0      7.85      0.00      7.35      0.00      0.34      0.00      0.00      0.00      0.00     84.46
01:50:01          1      7.98      0.00      7.63      0.00      0.34      0.00      0.05      0.00      0.00     84.00

01:50:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
02:00:01        all      8.14      0.00      7.72      0.00      0.34      0.00      0.02      0.00      0.00     83.78
02:00:01          0      7.98      0.00      7.61      0.00      0.34      0.00      0.00      0.00      0.00     84.07
02:00:01          1      8.29      0.00      7.83      0.00      0.34      0.00      0.04      0.00      0.00     83.50
02:10:01        all      8.26      0.00      7.88      0.00      0.33      0.00      0.02      0.00      0.00     83.50
02:10:01          0      8.26      0.00      7.89      0.00      0.33      0.00      0.00      0.00      0.00     83.52
02:10:01          1      8.25      0.00      7.88      0.00      0.34      0.00      0.05      0.00      0.00     83.48
02:20:01        all      8.03      0.00      7.60      0.00      0.34      0.00      0.02      0.00      0.00     84.01
02:20:01          0      7.93      0.00      7.41      0.00      0.33      0.00      0.00      0.00      0.00     84.33
02:20:01          1      8.14      0.00      7.79      0.00      0.34      0.00      0.05      0.00      0.00     83.68
02:30:01        all      7.98      0.00      7.57      0.00      0.33      0.00      0.02      0.00      0.00     84.10
